nlst_auc,test_auc,train_auc,val_auc,learning_rate,batch_size,num_epochs,regularization_lambda
0.5703389830508474,0.576934230669247,0.5858002266297931,0.5903521897998995,0.0006,256,50,0
0.5752118644067797,0.576091630320711,0.5887481382283256,0.5958697815358558,0.0006,256,20,0
0.5752118644067797,0.5786912086113438,0.5921060331597952,0.5980150146044443,0.0006,100,20,0
0.5724576271186441,0.5921966436555847,0.5988714977376641,0.6071956699157957,0.01,256,20,0
0.5739406779661017,0.6002772883510008,0.6061494055590334,0.615066650338543,0.01,100,20,0
0.5752118644067797,0.599787701106265,0.606866024813057,0.6170681735511796,0.01,100,50,0
0.5718220338983051,0.577174113977066,0.5917418068575323,0.597424168586759,0.0006,100,50,0
0.5684322033898306,0.5954399545555202,0.601423757035957,0.611365632263254,0.01,256,50,0
